NIP,P6_1_01,P6_1_02,P6_1_03,P6_1_04,P6_1_05,P6_1_06,P6_1_07,P6_1_08,P6_1_09,P6_1_10,P6_2_1,P6_3A_1,P6_3B_1,P6_3C_1,P6_3D_1,P6_2_2,P6_3A_2,P6_3B_2,P6_3C_2,P6_3D_2,P6_2_3,P6_3A_3,P6_3B_3,P6_3C_3,P6_3D_3,P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_5_1,P6_5_2,P6_5_3,P6_5_4,P6_5_5,P6_6_1,P6_6_2,P6_6_3,P6_6_4,P6_6_5,P6_6_6,P6_6_7,P6_6_8,P6_6_9
4521,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,3,3,,,,,,2,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2
4528,1,1,2,2,2,2,2,2,2,2,1,1,2,1,4,1,3,3,2,5,,,,,,1,1,1,2,2,2,1,2,2,1,2,1,2,2,1,2,2,2
4534,1,1,2,2,2,2,2,2,2,2,2,3,4,3,5,1,5,5,5,5,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
4554,1,1,2,2,2,2,2,2,2,2,3,1,5,1,5,3,3,5,3,5,,,,,,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2
4555,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
4576,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,3,3,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2
4592,1,1,2,2,2,2,2,2,2,2,1,1,3,3,3,2,2,3,3,3,,,,,,2,2,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2
4612,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,,,,,,2,2,2,2,3,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2
4621,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2
4627,1,1,2,2,2,2,2,2,2,2,4,3,3,4,4,4,2,3,4,4,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2
4628,1,1,2,2,2,2,2,2,2,2,1,1,2,2,3,2,1,2,2,3,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
4639,1,2,2,2,2,2,2,2,1,2,1,2,3,4,4,,,,,,1,4,4,4,4,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1
4646,1,2,2,2,2,2,2,2,2,2,2,2,3,3,4,,,,,,,,,,,2,1,2,2,1,1,2,1,1,2,2,2,2,2,1,1,2,2
4651,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,3,,,,,,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2
4653,1,1,2,2,2,2,2,2,2,2,3,1,2,3,4,3,1,2,4,4,,,,,,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2
4656,1,1,2,2,2,2,2,2,2,2,2,1,2,4,4,2,1,3,4,4,,,,,,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1
4657,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,3,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2
4658,1,1,2,2,2,2,2,2,2,2,2,1,2,3,3,3,2,3,3,4,,,,,,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2
4662,1,1,2,2,2,2,2,2,2,2,3,2,3,4,4,3,1,2,4,4,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2
4669,1,1,2,2,2,2,2,2,2,2,1,1,3,2,3,2,1,2,1,3,,,,,,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2
4679,1,2,2,2,2,2,2,2,2,2,4,3,4,4,4,,,,,,,,,,,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2
4732,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
4739,1,1,2,2,2,2,2,2,2,2,1,1,2,2,3,3,2,3,4,5,,,,,,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2
4745,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,3,4,3,3,,,,,,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2
4751,1,1,2,2,2,2,2,2,2,2,2,1,2,2,4,2,1,3,2,4,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2
4753,1,2,2,2,2,2,2,2,2,2,2,2,3,3,4,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
4757,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2
