NIP,P6_1_01,P6_1_02,P6_1_03,P6_1_04,P6_1_05,P6_1_06,P6_1_07,P6_1_08,P6_1_09,P6_1_10,P6_2_1,P6_3A_1,P6_3B_1,P6_3C_1,P6_3D_1,P6_2_2,P6_3A_2,P6_3B_2,P6_3C_2,P6_3D_2,P6_2_3,P6_3A_3,P6_3B_3,P6_3C_3,P6_3D_3,P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_5_1,P6_5_2,P6_5_3,P6_5_4,P6_5_5,P6_6_1,P6_6_2,P6_6_3,P6_6_4,P6_6_5,P6_6_6,P6_6_7,P6_6_8,P6_6_9
1685,1,1,2,2,2,2,2,2,2,2,2,1,3,2,4,2,1,2,2,4,,,,,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
1686,1,1,2,2,2,2,2,2,2,2,1,1,2,1,4,1,1,2,1,4,,,,,,1,1,2,1,2,2,2,2,2,1,1,2,2,1,1,1,1,2
1746,1,1,2,2,2,2,2,2,2,2,3,2,3,4,4,3,2,3,4,4,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2
2023,1,2,1,2,2,2,2,2,2,2,3,1,1,3,2,,,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2
2097,1,1,2,2,2,2,2,2,2,2,1,2,3,2,3,1,2,3,2,3,,,,,,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2
2103,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,3,2,2,2,4,,,,,,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2
2110,1,1,2,2,2,2,2,2,2,2,1,1,2,3,4,2,1,2,3,4,,,,,,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,1,2,2
2116,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,3,3,3,4,4,,,,,,1,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2
2337,1,1,2,2,2,2,2,2,2,2,1,1,2,2,3,2,2,3,3,3,,,,,,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2
2493,1,1,2,2,2,2,2,2,2,2,3,2,3,4,4,3,3,3,4,4,,,,,,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,1,2
2495,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,,,,,,,,,,,1,2,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2
2496,1,2,1,2,2,2,2,2,2,2,3,2,3,5,3,,,,,,3,3,3,3,3,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2,2
2503,1,2,1,2,2,2,2,2,2,2,2,1,1,4,4,,,,,,1,1,3,3,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
2512,1,2,1,2,2,2,2,2,2,2,2,1,3,4,3,,,,,,3,2,4,3,4,1,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2
2616,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,,,,,,2,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,2,2
2675,1,2,1,2,2,2,2,2,2,2,4,3,3,4,4,,,,,,3,2,3,2,4,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1
2685,2,2,2,2,1,2,2,2,2,2,,,,,,,,,,,2,2,1,3,3,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2
2693,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,3,4,,,,,,2,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,2,2
2699,1,2,1,2,2,2,2,2,2,2,4,3,2,3,3,,,,,,3,1,2,4,4,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2
2702,1,2,1,2,2,2,2,2,2,2,4,3,3,4,4,,,,,,3,2,4,3,4,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1
2762,1,1,2,2,2,2,2,2,2,2,1,1,2,2,4,1,1,1,2,4,,,,,,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2
2763,1,1,2,2,2,2,2,2,2,2,1,2,1,3,5,3,3,3,5,5,,,,,,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2
2829,1,2,2,2,2,2,2,2,2,2,3,1,3,4,3,,,,,,,,,,,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,2
