NIP,P6_7_01,P6_7_02,P6_7_03,P6_7_04,P6_7_05,P6_7_06,P6_7_07,P6_7_08,P6_7_09,P6_7_10,P6_8_1,P6_9A_1,P6_9B_1,P6_9C_1,P6_9D_1,P6_8_2,P6_9A_2,P6_9B_2,P6_9C_2,P6_9D_2,P6_8_3,P6_9A_3,P6_9B_3,P6_9C_3,P6_9D_3,P6_10_1,P6_10_2,P6_10_3,P6_10_4,P6_11_1,P6_11_2,P6_11_3,P6_11_4,P6_11_5,P6_12_1,P6_12_2,P6_12_3,P6_12_4,P6_12_5,P6_12_6,P6_12_7,P6_12_8,P6_12_9
3799,1,1,2,2,2,2,2,2,2,2,1,2,3,2,4,1,2,3,3,4,,,,,,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2
3800,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2
3801,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3802,1,2,2,2,1,2,2,2,2,2,2,2,2,3,4,,,,,,3,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2
3803,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,1,3,3,,,,,,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2
3804,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2
3805,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2
3806,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2
3807,1,2,2,2,2,1,2,2,2,2,2,1,3,4,4,,,,,,2,4,4,4,4,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1
3808,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,,,,,,2,1,1,1,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2
3809,1,2,2,2,2,2,2,2,2,2,3,1,3,3,4,,,,,,,,,,,2,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1
3811,1,1,2,2,2,2,2,2,2,2,3,2,3,2,1,3,3,4,4,4,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2
3812,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
3813,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,4,2,3,4,4,,,,,,1,1,2,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2
3814,1,1,2,2,2,2,2,2,2,2,2,3,3,3,4,2,3,3,3,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
3815,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,,,,,,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1
3816,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,3,2,4,3,4,,,,,,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2
3817,1,1,2,2,2,2,2,2,2,2,2,2,3,4,4,3,4,4,4,4,,,,,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
3818,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,,,,,,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2
3819,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,2,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
3820,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,,,,,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3821,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3822,1,1,2,2,2,2,2,2,2,2,3,4,3,4,3,4,4,4,4,4,,,,,,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2
3823,1,1,2,2,2,2,2,2,2,2,2,1,3,2,2,4,1,3,4,5,,,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3824,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,1,3,,,,,,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2
3825,1,1,2,2,2,2,2,2,2,2,3,2,2,2,3,2,1,2,3,4,,,,,,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2
3826,1,1,2,2,2,2,2,2,2,2,2,1,2,3,3,2,2,3,3,4,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1
3827,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1,2,,,,,,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2
3828,1,1,2,2,2,2,2,2,2,2,3,4,3,4,4,3,2,4,4,4,,,,,,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2
3829,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,,,,,,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2
3830,1,2,2,2,2,2,2,2,2,2,4,2,3,3,4,,,,,,,,,,,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2
3831,1,1,2,2,2,2,2,2,2,2,1,1,1,1,3,1,1,1,1,2,,,,,,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
3832,1,2,2,2,1,2,2,2,2,2,3,3,2,3,4,,,,,,3,2,2,3,3,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1
3833,1,1,2,2,2,2,2,2,2,2,3,2,2,2,4,3,2,2,2,4,,,,,,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2
3834,1,1,2,2,2,2,2,2,2,2,1,1,1,1,3,4,4,4,4,4,,,,,,2,1,2,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2
3835,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
3836,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
3837,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,2,1,2,,,,,,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2
3838,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3839,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
3840,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,2
3841,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,1,4,,,,,,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2
3842,1,2,2,2,2,2,2,2,2,1,1,3,4,4,4,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2
3843,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,,,,,,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2
3844,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,,,,,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3845,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,,,,,,1,1,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,2
3846,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,3,3,4,,,,,,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2
3847,1,1,2,2,2,2,2,2,2,2,1,1,1,2,3,1,1,1,1,1,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2
3848,1,1,2,2,2,2,2,2,2,2,1,2,2,3,3,2,2,2,3,3,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
3849,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,3,3,4,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
3850,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
3851,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,2
3852,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
3853,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,3,3,3,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3854,2,2,2,2,1,2,2,2,2,2,,,,,,,,,,,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1
3855,1,1,2,2,2,2,2,2,2,2,1,1,2,1,3,1,1,1,1,3,,,,,,1,2,2,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2
3856,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,2,,,,,,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2
3857,1,1,2,2,2,2,2,2,2,2,3,1,3,2,4,3,4,4,3,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2
3858,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2
3859,1,2,2,2,2,2,1,2,2,2,2,1,3,2,4,,,,,,2,2,3,3,4,1,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2
3860,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,3,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
3861,1,1,2,2,2,2,2,2,2,2,2,3,2,4,3,2,3,4,4,4,,,,,,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,2,2
3862,1,2,2,2,2,1,2,2,2,2,2,1,2,2,3,,,,,,3,3,3,3,4,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2
3863,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,3,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2
3864,2,2,2,2,1,1,2,2,2,2,,,,,,,,,,,2,2,1,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1
3865,1,2,2,2,2,2,2,2,2,2,4,1,3,4,4,,,,,,,,,,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3866,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2
3867,1,1,2,2,2,2,2,2,2,2,2,1,1,3,4,3,3,3,4,4,,,,,,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1
3868,1,2,2,2,1,2,2,2,2,2,4,3,4,4,4,,,,,,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1
3869,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2
3870,1,1,2,2,2,2,2,2,2,2,3,1,1,2,3,4,3,3,4,4,,,,,,2,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,2,2
3871,1,1,2,2,2,2,2,2,2,2,3,2,3,3,4,1,2,2,3,4,,,,,,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2
3872,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,,,,,,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
3873,1,1,2,2,2,2,2,2,2,2,1,1,4,2,4,3,4,4,4,4,,,,,,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1
3874,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
3875,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
3876,1,2,2,2,2,2,2,2,2,2,2,2,2,1,4,,,,,,,,,,,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2
3877,1,1,2,2,2,2,2,2,2,2,1,1,3,4,4,3,4,4,4,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3878,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
3879,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,,,,,,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2
3880,2,1,1,2,2,2,2,2,2,2,,,,,,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,2,1,1,2,2
3881,2,2,1,2,2,1,2,2,2,2,,,,,,,,,,,2,1,2,2,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
3882,1,1,2,2,2,2,2,2,2,2,2,3,2,2,3,2,1,3,3,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2
3883,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,,,,,,,,,,,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2
3884,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,3,3,3,4,4,,,,,,2,1,2,2,2,1,1,2,2,1,2,2,2,2,1,1,2,2
3885,1,1,2,2,2,2,2,2,2,2,1,1,2,2,4,4,2,2,2,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3886,1,1,2,2,2,2,2,2,2,2,1,2,4,4,4,3,4,4,4,4,,,,,,2,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2
3887,1,1,2,2,2,2,2,2,2,2,1,1,1,4,4,2,2,4,4,4,,,,,,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2
3888,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,,,,,,,,,,,2,2,2,2,1,1,2,1,1,2,2,2,2,2,1,2,2,2
3889,1,1,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2
3890,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,,,,,,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
3891,1,1,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,3,2,3,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2
3892,1,2,1,2,2,2,2,2,2,2,1,1,1,3,4,,,,,,1,2,2,4,4,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2
3893,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,,,,,,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2
3894,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
3895,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2
3896,1,1,2,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,3,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2
3897,1,2,2,2,2,2,2,2,2,2,3,1,2,3,4,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
3898,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2
3899,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
3900,1,2,2,2,2,2,2,2,2,2,1,1,3,3,4,,,,,,,,,,,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2
3901,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,3,2,3,2,3,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
3902,1,2,2,2,2,2,2,2,2,2,2,1,1,1,3,,,,,,,,,,,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
3903,1,1,2,2,2,2,2,2,2,2,3,1,1,2,2,3,1,2,2,1,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
3904,1,2,2,2,2,2,2,2,2,2,1,1,1,1,3,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2
3905,1,1,2,2,2,2,2,2,2,2,1,1,1,2,4,1,1,1,2,4,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2
3906,1,1,2,2,2,2,2,2,2,2,2,1,3,2,2,1,1,2,1,2,,,,,,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
3907,1,2,1,2,2,2,2,2,2,2,2,1,3,4,4,,,,,,2,2,4,4,4,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1
3908,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2
3909,1,1,2,2,2,2,2,2,2,2,2,2,3,3,2,1,1,2,1,3,,,,,,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
3910,1,1,2,2,2,2,2,2,2,2,2,1,1,1,3,2,1,1,1,2,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2
3911,1,1,2,2,2,2,2,2,2,2,1,1,3,2,4,2,2,4,4,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
3912,1,1,2,2,2,2,2,2,2,2,3,1,1,2,2,2,1,1,1,2,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2
3913,1,1,2,2,2,2,2,2,2,2,1,1,1,1,3,1,1,1,1,4,,,,,,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2
3914,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,3,4,,,,,,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2
3915,1,1,2,2,2,2,2,2,2,2,2,2,2,3,4,3,3,3,3,4,,,,,,2,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2
3916,1,1,2,2,2,2,2,2,2,2,3,1,2,2,3,4,3,3,3,3,,,,,,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1
3917,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2
3918,1,1,2,2,2,2,2,2,2,2,1,2,2,1,3,1,2,2,3,3,,,,,,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2
3919,1,1,2,2,2,2,2,2,2,2,2,3,4,3,4,3,4,4,4,4,,,,,,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1
3920,1,1,2,2,2,2,2,2,2,2,1,1,2,3,3,2,3,3,4,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
3921,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3922,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,,,,,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
3923,1,1,2,2,2,2,2,2,2,2,2,1,2,1,3,2,1,1,1,2,,,,,,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2
3924,1,1,2,2,2,2,2,2,2,2,2,3,2,3,3,3,4,3,4,4,,,,,,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2
3925,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,,,,,,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3926,1,1,2,2,2,2,2,2,2,2,1,2,1,2,4,2,2,1,2,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3927,1,1,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,4,4,4,,,,,,1,1,2,2,1,1,2,2,2,1,2,2,2,1,1,2,2,2
3928,1,2,2,2,1,2,2,2,2,2,2,2,2,3,4,,,,,,2,2,2,4,4,2,1,1,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2
3929,1,1,2,2,2,2,2,2,2,2,2,1,2,2,3,3,1,3,3,4,,,,,,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2
3930,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,,,,,,,,,,,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2
3931,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
3932,1,2,2,2,2,2,2,2,2,1,3,3,4,4,4,,,,,,4,3,4,4,4,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1
3933,1,1,2,2,2,2,2,2,2,2,1,1,1,1,3,1,1,2,3,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
3934,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
3935,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,3,3,3,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
3936,1,2,1,2,2,2,2,2,2,2,2,1,1,3,4,,,,,,2,1,1,3,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2
3937,2,2,1,1,2,2,2,2,2,2,,,,,,,,,,,2,3,4,4,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
3938,2,2,2,2,1,1,2,2,2,2,,,,,,,,,,,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2
3939,1,1,2,2,2,2,2,2,2,2,2,1,2,4,5,2,2,5,2,5,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
3940,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
3941,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,3,1,1,,,,,,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2
3942,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3943,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,4,4,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2
3944,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,3,3,3,3,3,,,,,,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3946,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,4,4,4,4,4,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
3947,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,1,2,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
3948,1,1,2,2,2,2,2,2,2,2,2,2,3,4,4,3,3,4,4,4,,,,,,2,1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2
3949,1,2,2,2,1,2,2,2,2,2,2,2,1,2,4,,,,,,2,3,3,2,3,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2
3950,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
3951,1,1,2,2,2,2,2,2,2,2,2,1,1,2,3,2,1,2,2,3,,,,,,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2
3952,1,1,2,2,2,2,2,2,2,2,2,3,3,3,4,2,4,4,4,4,,,,,,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2
3953,1,2,2,2,2,1,2,2,2,2,2,3,3,3,3,,,,,,3,3,3,3,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3954,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,3,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
3955,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,,,,,,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2
3956,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
3957,1,2,2,2,2,2,2,1,2,2,1,1,1,2,4,,,,,,2,1,2,2,3,1,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2
3958,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,,,,,,,,,,,2,2,1,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2
3959,1,1,2,2,2,2,2,2,2,2,2,1,2,1,4,2,2,1,2,4,,,,,,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2
3960,1,1,2,2,2,2,2,2,2,2,4,3,4,4,4,4,3,3,4,4,,,,,,2,1,1,1,2,1,1,1,1,2,2,2,2,1,1,2,2,2
3961,1,1,2,2,2,2,2,2,2,2,3,1,2,2,4,3,1,2,3,4,,,,,,2,1,2,2,1,2,2,2,2,1,1,2,2,2,1,1,2,2
3962,1,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2
3963,1,1,2,2,2,2,2,2,2,2,2,1,2,3,4,2,1,3,3,4,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1
3964,1,1,2,2,2,2,2,2,2,2,2,1,1,2,4,2,1,1,2,4,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2
